,property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,property_id,builtup_area,study room,pooja room,store room,servant room,others,furnishing_type,facility_score,coordinates,latitude,longitude
18,flat,sare homes,sector 92,1.25,6200.0,4,3,0,16.0,Under Construction,D21293994,2040.0,0,0,0,0,0,0,49,"28.4079° N, 76.9153° E",28.4079,76.9153
19,flat,emaar mgf emerald floors,sector 65,3.2,10159.0,4,3,2,1.0,Relatively New,C69772638,3150.0,0,0,0,1,0,0,0,"28.4030° N, 77.0690° E",28.403,77.069
20,flat,"ganpati apartment  2, laxman vihar phase 1",sector 4,0.45,4705.0,2,2,1,0.0,Relatively New,M68320118,944.0,0,0,0,0,0,0,46,"28.4738° N, 77.0107° E",28.4738,77.0107
21,flat,dlf regal gardens,sector 90,1.78,8040.0,4,4,3+,12.0,Relatively New,P62070450,2005.0,0,0,0,0,0,0,61,"28.4085° N, 76.9369° E",28.4085,76.9369
22,flat,dlf icon,sector 43,5.8,20707.0,4,4,3+,18.0,Old Property,D69982940,2801.0,0,0,0,0,0,0,0,"28.4629° N, 77.0772° E",28.4629,77.0772
23,house,vipul tatvam villa,sector 48,8.4,21000.0,4,5,3+,2.0,Moderately Old,K69830898,4000.0,1,1,0,1,0,2,49,"28.4177° N, 77.0359° E",28.4177,77.0359
24,flat,ats marigold,sector 89,1.85,8604.0,3,3,3+,12.0,New Property,W69990716,1946.0,0,0,0,1,0,0,37,"28.4253° N, 76.9439° E",28.4253,76.9439
25,flat,sare crescent parc,sector 92,0.8,4210.0,4,3,2,10.0,Relatively New,G46888525,1719.0,0,0,0,0,1,0,37,"28.4079° N, 76.9153° E",28.4079,76.9153
26,flat,shree vardhman victoria,sector 70,1.15,8518.0,2,2,3,8.0,Relatively New,N69685680,1222.0,1,0,0,0,1,0,49,"28.3968° N, 77.0233° E",28.3968,77.0233
27,flat,experion the heartsong,sector 108,1.6,7988.0,3,4,3+,3.0,Relatively New,F62011836,1500.29,0,0,0,1,0,2,60,"28.5134° N, 76.9830° E",28.5134,76.983
28,flat,the crew bos chs manesar,manesar,0.85,3695.0,3,3,2,2.0,Moderately Old,T68196706,2556.0,0,0,0,0,0,0,44,"28.3515° N, 76.9428° E",28.3515,76.9428
29,flat,microtek greenburg,sector 86,1.3,8756.0,2,2,3,10.0,Relatively New,R70169300,1339.0,1,0,0,0,0,0,38,"28.3986° N, 76.9384° E",28.3986,76.9384
30,flat,emaar emerald hills,sector 65,1.95,13928.0,3,3,3+,1.0,New Property,V69831504,1556.0,0,0,1,0,0,2,117,"28.4030° N, 77.0690° E",28.403,77.069
31,house,anamika enclave,sector 12,6.0,14492.0,9,9,3+,3.0,Old Property,U64211740,9000.0,0,0,0,0,0,0,9,"28.4723° N, 77.0320° E",28.4723,77.032
32,house,godrej meridien,sector 106,5.6,14000.0,5,4,3+,33.0,New Property,V69168320,4000.0,1,1,1,1,0,0,151,"28.5007° N, 77.0003° E",28.5007,77.0003
33,flat,experion windchants,sector 112,5.6,11529.0,4,6,3+,15.0,Moderately Old,M69125272,3662.34,0,0,0,1,0,2,157,"28.5189° N, 77.0183° E",28.5189,77.0183
34,flat,experion windchants,sector 112,2.8,11470.0,2,3,2,9.0,Relatively New,X69596172,2441.0,1,0,0,1,0,0,137,"28.5189° N, 77.0183° E",28.5189,77.0183
35,flat,smriti apartment,sector 56,0.52,10666.0,1,1,1,1.0,Old Property,R54552000,475.0,0,0,0,0,0,0,34,"28.4245° N, 77.0991° E",28.4245,77.0991
36,house,independent,sector 28,11.75,41315.0,4,5,3+,4.0,Relatively New,F69427624,2844.0,1,0,1,1,0,2,54,"28.4728° N, 77.0865° E",28.4728,77.0865
37,house,dlf city plots phase 4,sector 28,9.54,29444.0,6,5,3+,3.0,New Property,V69808282,3240.0,1,1,1,1,0,0,153,"28.4728° N, 77.0865° E",28.4728,77.0865
38,house,independent,sector 45,10.0,30864.0,6,6,3+,4.0,Moderately Old,I63177352,3240.0,1,1,1,1,0,2,70,"28.4466° N, 77.0660° E",28.4466,77.066
39,flat,emaar imperial gardens,sector 102,1.91,9550.0,3,4,2,17.0,Relatively New,T69732882,1587.0,1,0,0,1,0,2,152,"28.4750° N, 76.9715° E",28.475,76.9715
40,flat,shapoorji pallonji joyville gurugram,sector 102,1.25,9876.0,2,2,2,0.0,Relatively New,U69125000,1100.0,0,0,0,0,0,0,79,"28.4750° N, 76.9715° E",28.475,76.9715
41,flat,ramprastha the edge towers,sector 37d,1.1,5528.0,3,3,3,9.0,Relatively New,R68957042,1990.0,0,0,0,0,0,0,63,"28.4478° N, 76.9703° E",28.4478,76.9703
42,flat,umang winter hills,sector 77,1.4,6340.0,3,3,3,10.0,Relatively New,C68021494,1735.0,0,0,0,0,0,0,28,"28.3801° N, 76.9845° E",28.3801,76.9845
43,flat,mapsko mount ville,sector 79,1.2,8052.0,3,3,3,9.0,Relatively New,L69631492,1321.0,1,0,0,0,0,2,104,"28.3624° N, 76.9787° E",28.3624,76.9787
44,flat,vatika gurgaon,sector 83,0.78,6265.0,2,2,2,3.0,Relatively New,V68896848,850.0,1,1,0,0,0,2,165,"28.3986° N, 76.9647° E",28.3986,76.9647
45,flat,godrej habitat,sector 3,1.25,8656.0,2,2,3,14.0,Under Construction,X66557286,1161.0,0,0,0,0,0,0,36,"28.4909° N, 77.0176° E",28.4909,77.0176
46,flat,emaar mgf palm hills,sector 77,1.65,8461.0,4,3,3,9.0,Relatively New,S70076870,1765.0,0,0,0,1,0,0,100,"28.3801° N, 76.9845° E",28.3801,76.9845
47,flat,emaar imperial gardens,sector 102,1.98,9900.0,3,3,3+,9.0,Relatively New,M69068068,2222.0,0,0,0,1,0,2,72,"28.4750° N, 76.9715° E",28.475,76.9715
48,house,independent,sector 26,13.5,29880.0,5,5,3+,2.0,Relatively New,T70094424,4518.0,1,1,0,1,1,1,49,"28.4757° N, 77.1032° E",28.4757,77.1032
49,flat,ss the leaf,sector 85,1.08,6585.0,2,2,3,8.0,New Property,K68761724,1200.0,1,1,1,1,0,2,157,"28.4042° N, 76.9513° E",28.4042,76.9513
50,flat,signature global synera,sector 81,0.31,7434.0,1,1,1,13.0,Relatively New,B69809430,366.0,0,0,0,0,0,1,123,"28.3867° N, 76.9485° E",28.3867,76.9485
