property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,property_id,super_builtup_area,builtup_area,carpet_area,study room,pooja room,store room,servant room,others,furnishing_type,facility_score
house,emaar mgf marbella,sector 66,9.0,21251.0,4235.0,Plot area 5605(520.72 sq.m.)Built Up area: 5200 sq.ft. (483.1 sq.m.)Carpet area: 4235 sq.ft. (393.44 sq.m.),4,4,3+,,South-West,Undefined,F69979706,,5200.0,4235.0,0,1,1,1,0,2,114
house,international city by sobha phase 2,sector 109,9.5,26389.0,3600.0,Plot area 400(334.45 sq.m.),5,5,3+,2.0,South,Undefined,D70111744,,3600.0,,1,1,1,1,0,0,133
flat,sbtl caladium,sector 109,1.35,7180.0,1880.0,Super Built up area 1880(174.66 sq.m.)Carpet area: 1128 sq.ft. (104.79 sq.m.),3,2,3+,12.0,West,Undefined,L70071834,1880.0,,1128.0,0,0,0,0,0,0,128
flat,bestech park view spa next,sector 67,2.7,11489.0,2350.0,Super Built up area 2350(218.32 sq.m.),4,4,3+,9.0,South-West,Undefined,D69101368,2350.0,,,0,1,0,1,0,2,149
flat,godrej oasis,sector 88a,2.65,16747.0,1582.0,Carpet area: 124,3,3,3+,10.0,,New Property,N33894215,,,124.0,0,0,0,0,0,0,110
flat,raheja navodaya,sector 92,1.1,4681.0,2350.0,Built Up area: 2350 (218.32 sq.m.)Carpet area: 1850 sq.ft. (171.87 sq.m.),3,2,3,0.0,East,Undefined,V69903428,,2350.0,1850.0,0,0,0,0,0,0,0
flat,paras dews,sector 106,1.35,7297.0,1850.0,Super Built up area 2355(218.79 sq.m.)Built Up area: 2100 sq.ft. (195.1 sq.m.)Carpet area: 1850 sq.ft. (171.87 sq.m.),4,4,3+,18.0,North-East,Undefined,P69626214,2355.0,2100.0,1850.0,0,1,0,1,0,2,174
flat,godrej nature plus,sector 33,1.25,9025.0,1385.0,Carpet area: 1385 (128.67 sq.m.),2,2,3+,15.0,,Under Construction,H66348120,,,1385.0,0,0,0,0,0,0,44
flat,orris aster court premier,sector 85,1.73,6757.0,2560.0,Super Built up area 2560(237.83 sq.m.)Built Up area: 2017 sq.ft. (187.39 sq.m.),4,5,3+,8.0,East,Undefined,X69344002,2560.0,2017.0,,0,0,0,1,0,0,16
flat,orchid petals,sector 49,2.23,10969.0,2033.0,Super Built up area 2033(188.87 sq.m.),3,3,3,14.0,North,Undefined,T70022696,2033.0,,,0,0,0,0,1,0,40
flat,m3m soulitude,sector 89,1.32,16923.0,780.0,Carpet area: 780 (72.46 sq.m.),3,3,3,1.0,,Under Construction,M68320998,,,780.0,0,0,0,0,0,0,45
flat,m3m skycity,sector 65,2.1,16030.0,1310.0,Super Built up area 1310(121.7 sq.m.),2,2,2,43.0,,Undefined,O68590264,1310.0,,,0,0,0,0,0,0,127
flat,sobha city,sector 108,2.95,14727.0,2003.0,Super Built up area 2003(186.08 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,4,2,12.0,East,Undefined,L69219164,2003.0,1600.0,1400.0,0,0,0,0,0,0,49
flat,assotech blith,sector 99,1.9,6702.0,2835.0,Built Up area: 2835 (263.38 sq.m.),4,4,3+,2.0,North-East,Undefined,B68924958,,2835.0,,0,0,0,0,0,0,51
house,independent,sector 7,0.9,10000.0,900.0,Plot area 100(83.61 sq.m.),6,4,3,3.0,North-East,Undefined,S70077862,,900.0,,0,0,0,1,1,2,44
flat,m3m antalya hills,sector 79,1.15,7496.0,1534.0,Super Built up area 1534(142.51 sq.m.)Built Up area: 1200 sq.ft. (111.48 sq.m.)Carpet area: 1103 sq.ft. (102.47 sq.m.),3,3,3+,1.0,,Under Construction,R68390214,1534.0,1200.0,1103.0,1,0,0,0,0,0,51
house,international city by sobha phase 1,sector 109,6.75,10838.0,6228.0,Plot area 692(578.6 sq.m.),4,4,3+,2.0,North-East,New Property,T70221950,,6228.0,,0,1,0,1,0,0,130
flat,smart world orchard,sector 61,2.1,13750.0,1527.0,Super Built up area 1549(143.91 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3,2,3,3.0,South,Under Construction,Z68190980,1549.0,,1500.0,0,0,0,0,0,0,146
house,international city by sobha phase 1,sector 109,5.7,10556.0,5400.0,Plot area 600(501.68 sq.m.),4,4,3+,4.0,East,Undefined,W69282118,,5400.0,,1,0,0,1,0,0,98
flat,umang winter hills,sector 77,1.1,5296.0,2077.0,Super Built up area 2077(192.96 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3,4,3+,9.0,North,Undefined,B69655158,2077.0,,1600.0,0,0,0,1,0,0,49
flat,supertech hilltown,sector 2,0.8,5556.0,1440.0,Built Up area: 1440 (133.78 sq.m.)Carpet area: 1080 sq.ft. (100.34 sq.m.),3,2,3,8.0,,Undefined,P68483460,,1440.0,1080.0,0,0,0,0,0,0,0
flat,shri banke bihari society,sector 56,1.35,6750.0,2000.0,Super Built up area 2000(185.81 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3,3,3,5.0,East,Undefined,N70091858,2000.0,1800.0,1600.0,0,0,0,0,1,2,82
flat,krisumi waterfall residences,sector 36a,2.2,14874.0,1479.0,Super Built up area 1479(137.4 sq.m.),2,2,2,23.0,North,Undefined,S69611606,1479.0,,,0,0,0,0,0,0,15
flat,ats triumph,sector 104,4.45,6846.0,6500.0,Carpet area: 6500 (603.87 sq.m.),4,5,3+,27.0,North,Undefined,W69548040,,,6500.0,0,0,0,0,0,0,110
flat,smart world orchard,sector 61,1.5,12500.0,1200.0,Carpet area: 1200 (111.48 sq.m.),2,2,2,2.0,North,Under Construction,D67228138,,,1200.0,1,0,0,0,0,0,49
house,independent,sector 25,8.0,8000.0,10000.0,Carpet area: 10000 (929.03 sq.m.),3,9,2,3.0,,New Property,K69442210,,,10000.0,0,0,0,0,0,0,0
house,emaar mgf marbella,sector 66,,,,Plot area 500(418.06 sq.m.),5,7,3+,2.0,,Undefined,B69683640,,500.0,,1,1,1,1,0,2,70
house,independent,sector 28,9.0,27778.0,3240.0,Plot area 360(301.01 sq.m.),6,7,3+,3.0,North,Undefined,E69552472,,3240.0,,1,1,1,1,0,0,67
flat,ansal housing highland park,sector 103,2.0,7490.0,2670.0,Super Built up area 2670(248.05 sq.m.),4,5,3+,14.0,,New Property,S64281756,2670.0,,,0,0,0,1,0,0,45
flat,zara aavaas,sector 104,0.26,7807.0,333.0,Built Up area: 301 (27.96 sq.m.),1,1,2,0.0,North-East,Undefined,O64023902,,301.0,,0,0,0,0,0,0,91
flat,bajrang apartments,sector 6,0.38,4470.0,850.0,Carpet area: 850 (78.97 sq.m.),2,2,2,1.0,,Undefined,A57263334,,,850.0,0,0,0,0,0,0,0
flat,millenia,sector 37c,0.4,6666.0,600.0,Carpet area: 600 (55.74 sq.m.),2,2,2,4.0,East,New Property,V56135054,,,600.0,0,0,0,0,0,0,29
flat,bptp amstoria,sector 102,1.9,8444.0,2250.0,Super Built up area 2727(253.35 sq.m.)Built Up area: 2500 sq.ft. (232.26 sq.m.)Carpet area: 2250 sq.ft. (209.03 sq.m.),3,3,3+,1.0,North-East,Undefined,M69712964,2727.0,2500.0,2250.0,0,0,0,1,0,0,174
flat,green court,sector 90,0.47,6811.0,690.0,Carpet area: 690 (64.1 sq.m.),2,2,1,0.0,East,New Property,Z68954336,,,690.0,0,0,0,0,0,0,49
flat,dlf 76,new,4.0,11428.0,3500.0,Carpet area: 3500 (325.16 sq.m.),4,4,2,4.0,,Under Construction,Z69991064,,,3500.0,1,0,0,1,0,2,101
flat,birla navya,sector 63a,3.3,15348.0,2150.0,Super Built up area 2150(199.74 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),3,3,3,4.0,West,Under Construction,S67017156,2150.0,,1200.0,0,0,0,1,0,0,52
flat,sunischit apartments,sector 54,1.75,7954.0,2200.0,Super Built up area 2200(204.39 sq.m.)Built Up area: 2100 sq.ft. (195.1 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),3,3,3+,6.0,North-East,Undefined,K69101478,2200.0,2100.0,2000.0,0,0,0,1,0,2,126
flat,dlf new town heights,sector 90,1.54,6514.0,2364.0,Super Built up area 2364(219.62 sq.m.)Built Up area: 2200 sq.ft. (204.39 sq.m.)Carpet area: 1850 sq.ft. (171.87 sq.m.),4,4,3+,12.0,South-West,Undefined,Z69624264,2364.0,2200.0,1850.0,0,1,0,1,0,2,111
house,unitech deerwood chase,sector 50,15.0,33333.0,4500.0,Plot area 500(418.06 sq.m.),4,4,2,2.0,West,Undefined,M69448868,,4500.0,,0,0,0,1,0,0,160
flat,prasha apartments,manesar,0.75,3309.0,2267.0,Super Built up area 2115(196.49 sq.m.),3,3,3+,3.0,West,Undefined,N68201050,2115.0,,,0,0,0,1,0,0,31
flat,pivotal devaan,sector 84,0.35,7246.0,483.0,Carpet area: 483 (44.87 sq.m.),2,2,2,4.0,East,Undefined,M69329972,,,483.0,0,0,0,0,0,0,37
flat,kibithu villas,sector 48,3.45,12777.0,2700.0,Carpet area: 2700 (250.84 sq.m.),4,4,3+,2.0,,Undefined,N69737906,,,2700.0,0,0,0,0,0,0,0
flat,new sathi apartments,sector 54,1.59,7066.0,2250.0,Built Up area: 2250 (209.03 sq.m.),3,3,3+,3.0,North,Undefined,Q70116484,,2250.0,,1,0,0,0,0,2,127
flat,ild greens,sector 37c,0.75,5245.0,1430.0,Built Up area: 1430 (132.85 sq.m.),2,2,3+,13.0,East,Undefined,A68021584,,1430.0,,0,0,0,0,0,0,51
flat,ambience creacions,sector 22,6.16,20533.0,3000.0,Carpet area: 3000 (278.71 sq.m.),4,5,3+,10.0,South-East,New Property,I68793680,,,3000.0,0,1,0,1,0,2,49
house,uppal southend,sector 49,6.75,290948.0,232.0,Plot area 232(21.55 sq.m.),12,12,3+,,West,Undefined,S70375000,,232.0,,1,1,0,1,1,2,49
house,independent,sector 7,2.0,11111.0,1800.0,Plot area 200(167.23 sq.m.),2,2,1,2.0,,Undefined,X69503654,,1800.0,,0,0,0,0,0,0,0
flat,shree vardhman victoria,sector 70,1.63,8358.0,1950.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3,3,3,5.0,East,New Property,W69217906,1950.0,,1161.0,0,0,0,1,1,0,49
flat,shree vardhman victoria,sector 70,1.63,8358.0,1950.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3,5,3,12.0,East,Undefined,F69936886,1950.0,,1161.0,0,0,0,1,0,0,43
flat,antriksh heights,sector 84,0.9,4931.0,1825.0,Super Built up area 1825(169.55 sq.m.),3,3,3,11.0,South,Undefined,L67426630,1825.0,,,0,0,0,0,0,0,87
flat,spaze privy at,sector 84,1.35,9642.0,1400.0,Super Built up area 1918(178.19 sq.m.)Built Up area: 1750 sq.ft. (162.58 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3,7.0,South-East,Undefined,C68524508,1918.0,1750.0,1400.0,0,1,0,0,0,0,90
house,independent,sector 105,1.35,3857.0,3500.0,Built Up area: 3500 (325.16 sq.m.)Carpet area: 2500 sq.ft. (232.26 sq.m.),5,3,3,3.0,East,Undefined,Y69750790,,3500.0,2500.0,0,0,0,0,0,0,0
flat,ansal heights 86,sector 86,0.78,5735.0,1360.0,Super Built up area 1360(126.35 sq.m.),2,2,1,8.0,East,New Property,O53677516,1360.0,,,0,0,0,0,0,0,67
flat,eldeco accolade,sector 33,1.2,8043.0,1492.0,Built Up area: 1492 (138.61 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),2,2,2,0.0,North,New Property,N68022478,,1492.0,900.0,1,0,0,0,0,0,55
house,nirvana cedar crest,sector 50,3.99,8866.0,4500.0,Plot area 4500(418.06 sq.m.),4,5,3+,4.0,North-East,New Property,T69882738,,4500.0,,0,1,0,1,0,2,112
flat,vatika sovereign park,sector 99,3.25,9672.0,3360.0,Super Built up area 3360(312.15 sq.m.),4,4,3+,2.0,,New Property,J69033378,3360.0,,,0,0,0,1,0,0,123
house,tata primanti,sector 72,8.6,12285.0,7000.0,Built Up area: 7000 (650.32 sq.m.),4,5,3+,3.0,,Undefined,K69320648,,7000.0,,0,0,0,0,0,2,30
flat,indiabulls enigma,sector 110,3.25,9558.0,3400.0,Super Built up area 3400(315.87 sq.m.),4,4,3,11.0,South,Undefined,Q44349385,3400.0,,,0,0,0,1,1,0,125
flat,shree vardhman flora,sector 90,1.3,5252.0,2475.0,Super Built up area 2475(229.94 sq.m.)Carpet area: 1825 sq.ft. (169.55 sq.m.),4,5,2,9.0,North-East,Undefined,T68041170,2475.0,,1825.0,1,0,0,1,0,0,110
house,shri shyam residency,sector 104,0.62,12400.0,500.0,Plot area 500(46.45 sq.m.)Built Up area: 900 sq.ft. (83.61 sq.m.)Carpet area: 480 sq.ft. (44.59 sq.m.),3,3,1,2.0,,Undefined,J49925954,,900.0,480.0,0,0,0,0,1,1,8
flat,bestech park view ananda,sector 81,1.1,6686.0,1645.0,Super Built up area 1645(152.83 sq.m.)Carpet area: 1034 sq.ft. (96.06 sq.m.),3,2,3+,5.0,East,Undefined,A70024488,1645.0,,1034.0,0,0,0,0,0,0,150
flat,ambience creacions,sector 22,3.5,19444.0,1800.0,Carpet area: 1800 (167.23 sq.m.),3,4,3+,8.0,East,Undefined,Z67904126,,,1800.0,0,0,0,1,0,2,57
house,independent,sector 14,5.0,22222.0,2250.0,Plot area 250(209.03 sq.m.),3,3,3,1.0,South,Undefined,X69899472,,2250.0,,0,0,0,0,0,0,25
flat,beverley park 1,sector 43,8.44,16230.0,5200.0,Super Built up area 5200(483.1 sq.m.)Built Up area: 5000 sq.ft. (464.52 sq.m.)Carpet area: 4900 sq.ft. (455.22 sq.m.),4,5,3,9.0,North-East,Undefined,B69728032,5200.0,5000.0,4900.0,0,0,0,1,0,1,117
flat,signature the roselia,sector 95,0.41,6194.0,662.0,Built Up area: 670 (62.25 sq.m.)Carpet area: 569.25 sq.ft. (52.89 sq.m.),2,2,2,12.0,North,New Property,W68753936,,670.0,569.25,1,0,0,0,0,2,90
flat,malibu towne,sector 47,2.4,10000.0,2400.0,Carpet area: 2400 (222.97 sq.m.),3,3,0,0.0,West,Undefined,P58015548,,,2400.0,0,0,0,0,0,2,22
flat,satya the hermitage,sector 103,0.99,6655.0,1488.0,Super Built up area 1991(184.97 sq.m.)Carpet area: 1495 sq.ft. (138.89 sq.m.),3,4,3+,2.0,North-East,Undefined,Q68360998,1991.0,,1495.0,0,1,0,1,0,0,174
flat,ild grand,sector 37c,1.35,7142.0,1890.0,Built Up area: 1820 (169.08 sq.m.),3,3,0,1.0,,Undefined,J69691190,,1820.0,,0,0,0,0,0,0,60
flat,mvn athens,sohna road,0.26,5397.0,482.0,Carpet area: 481.73 (44.75 sq.m.),2,2,1,5.0,,Undefined,Y68968446,,,481.684525,0,0,0,0,0,0,95
flat,smart world orchard,sector 61,1.58,13739.0,1150.0,Carpet area: 1150 (106.84 sq.m.),2,2,2,3.0,South,Undefined,H69343242,,,1150.0,1,0,0,0,0,0,15
house,rk excelo,sector 12,0.6,120000.0,50.0,Plot area 50(4.65 sq.m.)Built Up area: 30 sq.ft. (2.79 sq.m.)Carpet area: 15 sq.ft. (1.39 sq.m.),5,3,2,3.0,North,Undefined,K55703136,,30.0,15.0,0,0,0,0,1,0,0
house,independent,sector 27,8.0,26298.0,3042.0,Plot area 338(282.61 sq.m.),9,9,3,4.0,North-East,Undefined,R69688626,,3042.0,,1,1,1,1,0,1,110
flat,smart world gems,sector 89,0.95,8600.0,1105.0,Carpet area: 1103 (102.47 sq.m.),2,2,2,4.0,,Undefined,R69024308,,,1103.0,1,0,0,1,0,0,38
house,independent,sector 7,3.85,14650.0,2628.0,Plot area 292(244.15 sq.m.),4,4,3,3.0,North-West,Undefined,K66386668,,2628.0,,0,0,0,0,0,0,27
flat,alpha corp gurgaonone,sector 84,1.52,7904.0,1923.0,Super Built up area 1923(178.65 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3,4,3,15.0,South,Undefined,C69570590,1923.0,,1500.0,0,0,0,1,0,0,92
flat,signature the roselia,sector 95,0.45,7.0,642857.0,Carpet area: 569243 (52884.41 sq.m.),2,2,2,2.0,South-West,New Property,Y68589358,,,569243.0,0,0,0,0,0,0,76
house,independent,sector 26,4.0,29630.0,1350.0,Plot area 150(125.42 sq.m.),4,4,3,2.0,North,Undefined,V66556640,,1350.0,,0,0,1,0,0,0,41
flat,vatika gurgaon,sector 83,0.95,6574.0,1445.0,Super Built up area 1445(134.24 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2,2,3,5.0,South,Undefined,H68325858,1445.0,1300.0,1200.0,0,0,0,0,0,2,96
flat,experion the heartsong,sector 108,1.36,6542.0,2079.0,Super Built up area 1758(163.32 sq.m.)Carpet area: 986 sq.ft. (91.6 sq.m.),3,2,3+,2.0,,Undefined,J60561956,1758.0,,986.0,1,0,0,1,0,2,77
flat,takshila heights sector 37 c,new,0.67,5583.0,1200.0,Super Built up area 1200(111.48 sq.m.),2,2,2,3.0,,Undefined,X64788100,1200.0,,,0,0,0,0,0,0,23
flat,raheja vedaanta,sector 108,0.85,4637.0,1833.0,Super Built up area 1833(170.29 sq.m.)Built Up area: 1500 sq.ft. (139.35 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),3,3,2,2.0,North-East,Undefined,F69668674,1833.0,1500.0,1350.0,0,0,0,1,0,0,65
flat,sagar apartment,sector 56,1.45,7250.0,2000.0,Super Built up area 2000(185.81 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),3,3,3+,7.0,South,Undefined,K69831288,2000.0,1900.0,1800.0,1,1,0,1,1,0,166
flat,central park flower valley aqua front towers,sector 33,2.1,11738.0,1789.0,Super Built up area 1789(166.2 sq.m.),3,3,2,6.0,,Under Construction,D68629316,1789.0,,,0,0,0,0,0,0,24
flat,puri emerald bay,sector 104,1.58,9117.0,1733.0,Super Built up area 1700(157.94 sq.m.),2,3,3,11.0,North-East,Undefined,X69577774,1700.0,,,0,0,0,1,0,0,101
house,vatika the seven lamps,sector 82,1.6,6597.0,2425.0,Plot area 2425(225.29 sq.m.),4,4,3+,16.0,North,Undefined,Z69276224,,2425.0,,0,0,0,1,0,0,94
flat,dlf regal gardens,sector 90,1.24,7065.0,1755.0,Super Built up area 1755(163.04 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3+,9.0,South,Undefined,Y42062055,1755.0,1600.0,1400.0,0,0,0,0,1,0,72
house,not applicable,sector 11,2.2,12222.0,1800.0,Plot area 1800(167.23 sq.m.),4,3,2,1.0,South,Undefined,A70010838,,1800.0,,1,1,0,0,0,0,24
flat,pioneer park,sector 61,2.04,14623.0,1395.0,Super Built up area 1795(166.76 sq.m.)Built Up area: 1595 sq.ft. (148.18 sq.m.)Carpet area: 1395 sq.ft. (129.6 sq.m.),3,3,3+,16.0,South,Undefined,S69946912,1795.0,1595.0,1395.0,0,0,0,1,0,2,165
flat,silverglades hightown residences,sector 43,4.2,19767.0,2125.0,Super Built up area 2150(199.74 sq.m.),3,4,2,7.0,East,Under Construction,L69042452,2150.0,,,0,0,0,0,0,0,42
flat,sbtl caladium,sector 109,1.9,6219.0,3055.0,Super Built up area 3055(283.82 sq.m.),4,4,3,8.0,North-East,Undefined,Z68554704,3055.0,,,0,0,0,1,0,0,151
flat,baani city center,sector 63,0.88,10945.0,804.0,Built Up area: 804 (74.69 sq.m.)Carpet area: 600 sq.ft. (55.74 sq.m.),1,1,2,4.0,,Undefined,B68022322,,804.0,600.0,0,0,0,0,0,0,0
flat,tata primanti,sector 72,5.0,11363.0,4400.0,Super Built up area 4400(408.77 sq.m.)Built Up area: 4000 sq.ft. (371.61 sq.m.)Carpet area: 3500 sq.ft. (325.16 sq.m.),4,4,3+,2.0,North-East,New Property,V69925314,4400.0,4000.0,3500.0,1,0,1,1,0,2,174
house,independent,sector 40,2.1,23333.0,900.0,Plot area 900(83.61 sq.m.),3,3,2,3.0,North,Undefined,R70119090,,900.0,,0,0,0,0,1,2,35
flat,supertech araville,sector 79,1.0,6535.0,1530.0,Carpet area: 1530 (142.14 sq.m.),2,2,3,4.0,,Undefined,V69868266,,,1530.0,1,0,0,0,0,0,24
flat,bestech park view spa next,sector 67,2.85,12127.0,2350.0,Super Built up area 2350(218.32 sq.m.),4,4,3+,5.0,South,Undefined,N69768328,2350.0,,,0,1,0,1,0,2,149
flat,central park flower valley,sohna road road,1.65,17441.0,946.0,Carpet area: 946 (87.89 sq.m.),3,3,0,1.0,,Undefined,Y68388782,,,946.0,0,0,0,0,0,0,66
flat,mahindra luminare,sector 59,5.8,19173.0,3025.0,Carpet area: 3025 (281.03 sq.m.),3,4,3,16.0,North-East,New Property,M69341604,,,3025.0,0,0,0,1,0,2,49
flat,ats triumph,sector 104,2.78,8825.0,3150.0,Super Built up area 3150(292.64 sq.m.),4,4,3+,11.0,South,Undefined,Z69574404,3150.0,,,0,0,0,1,0,0,110
flat,ambience creacions,sector 22,3.2,11500.0,2783.0,Super Built up area 2781(258.36 sq.m.),3,4,3+,2.0,North-East,Undefined,P63118582,2781.0,,,0,0,0,0,0,0,42
house,independent,sector 21,0.6,6173.0,972.0,Plot area 108(90.3 sq.m.),8,3,2,3.0,,Undefined,R57077514,,972.0,,0,0,0,0,0,0,0
flat,ramprastha the edge towers,sector 37d,0.8,8888.0,900.0,Super Built up area 1380(128.21 sq.m.)Built Up area: 1310 sq.ft. (121.7 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),2,2,3,10.0,South-East,Undefined,J62977642,1380.0,1310.0,900.0,0,0,0,0,1,0,166
flat,ansals duplex flat,sector 2,0.95,7307.0,1300.0,Carpet area: 1300 (120.77 sq.m.),2,3,2,1.0,North-East,Undefined,G57399674,,,1300.0,1,0,0,0,0,2,20
flat,tarc maceo,sector 91,1.8,7758.0,2320.0,Carpet area: 2320 (215.54 sq.m.),3,3,3+,0.0,North,Undefined,Y70059098,,,2320.0,0,1,0,0,0,1,45
flat,bestech spa signature,sector 81,4.45,10595.0,4200.0,Super Built up area 4200(390.19 sq.m.)Built Up area: 3850 sq.ft. (357.68 sq.m.)Carpet area: 3600 sq.ft. (334.45 sq.m.),4,4,3+,8.0,South-West,Undefined,C69362138,4200.0,3850.0,3600.0,1,1,0,1,1,2,49
flat,pareena coban residences,sector 99a,1.05,6774.0,1550.0,Super Built up area 1550(144 sq.m.)Built Up area: 1390 sq.ft. (129.14 sq.m.)Carpet area: 1240 sq.ft. (115.2 sq.m.),2,2,3,2.0,East,Undefined,J69105146,1550.0,1390.0,1240.0,1,0,0,0,0,0,49
house,independent,sector 3 phase 2,1.0,11111.0,900.0,Plot area 900(83.61 sq.m.),3,4,2,2.0,,Undefined,Y68562272,,900.0,,0,0,0,0,0,0,0
flat,emaar mgf emerald floors premier,sector 65,2.85,14430.0,1975.0,Super Built up area 1975(183.48 sq.m.),4,4,3+,0.0,West,Undefined,K66759876,1975.0,,,1,0,0,1,0,2,151
house,row house,sector 105,0.43,9135.0,471.0,Plot area 52(43.48 sq.m.)Built Up area: 1050 sq.yards (877.93 sq.m.),3,3,3,2.0,,Undefined,R12733325,,1050.0,,0,0,0,0,0,0,0
flat,gls arawali homes,sohna road,0.26,4513.0,576.0,Carpet area: 576 (53.51 sq.m.),2,2,2,5.0,East,New Property,V59394994,,,576.0,0,0,0,0,0,0,78
house,luxury dlf city floors,sector 26,8.25,45833.0,1800.0,Plot area 200(167.23 sq.m.),12,12,3+,4.0,North,New Property,X67105886,,1800.0,,0,0,0,1,0,2,105
flat,m3m merlin,sector 67,3.4,14418.0,2358.0,Super Built up area 2358(219.07 sq.m.),3,4,3+,16.0,West,Undefined,O69847906,2358.0,,,0,0,0,1,0,2,158
flat,suncity vatsal valley,gwal pahari,1.53,10699.0,1430.0,Carpet area: 1430 (132.85 sq.m.),3,3,3,2.0,North-East,New Property,F69846044,,,1430.0,0,0,0,0,0,2,117
flat,tulip white,sector 69,0.9,6787.0,1326.0,Carpet area: 1326 (123.19 sq.m.),3,2,3,6.0,North-East,Undefined,T69628634,,,1326.0,0,1,0,0,0,0,121
flat,shree vardhman victoria,sector 70,1.65,8461.0,1950.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1267 sq.ft. (117.71 sq.m.),3,4,3,1.0,North,Undefined,X69647784,1950.0,,1267.0,0,0,0,1,0,1,167
flat,ansal harmony homes,sector 57,1.12,10666.0,1050.0,Super Built up area 1050(97.55 sq.m.),2,2,1,0.0,,Undefined,I56151784,1050.0,,,0,0,0,0,0,0,72
flat,smart world orchard,sector 61,2.41,14785.0,1630.0,Built Up area: 1630 (151.43 sq.m.)Carpet area: 1625 sq.ft. (150.97 sq.m.),3,3,3,2.0,East,New Property,T69058716,,1630.0,1625.0,0,0,0,0,0,0,61
flat,godrej air,sector 85,1.05,10603.0,990.0,Built Up area: 97 Carpet area: 92 sq.m.,2,2,1,15.0,East,Under Construction,M68036016,,97.0,92.0,0,0,0,0,0,0,45
flat,ramsons kshitij,sector 95,0.31,5.0,620000.0,Carpet area: 607936 (56479.1 sq.m.),2,2,1,1.0,North-East,Undefined,D70174086,,,607936.0,1,0,0,0,1,0,65
flat,imperia the esfera,sector 37c,0.95,5703.0,1666.0,Built Up area: 1578 (146.6 sq.m.),2,2,0,17.0,,Under Construction,Y64213894,,1578.0,,0,0,0,1,0,0,66
house,unitech uniworld resorts,sector 33,8.0,11428.0,7000.0,Plot area 7000(650.32 sq.m.),4,4,3+,2.0,West,Undefined,D70122248,,7000.0,,1,1,1,1,0,0,77
flat,emaar palm gardens,sector 83,1.38,8023.0,1720.0,Super Built up area 1720(159.79 sq.m.)Built Up area: 1350 sq.ft. (125.42 sq.m.)Carpet area: 1150 sq.ft. (106.84 sq.m.),3,3,3,5.0,South-West,Undefined,F68628664,1720.0,1350.0,1150.0,0,0,0,1,0,2,8
house,iffco nagar and 17b rwa,sector 17,3.5,24305.0,1440.0,Plot area 1440(133.78 sq.m.),6,5,3,3.0,East,Undefined,C66372572,,1440.0,,0,0,0,0,0,0,44
house,independent,sector 43,9.85,29638.0,3323.0,Plot area 418(349.5 sq.m.),5,5,2,3.0,West,Undefined,Z70335704,,418.0,,1,1,0,1,0,0,21
flat,emaar gurgaon greens,sector 102,1.49,9030.0,1650.0,Super Built up area 1650(153.29 sq.m.)Carpet area: 1022.58 sq.ft. (95 sq.m.),3,3,3,10.0,North-East,Undefined,K69714928,1650.0,,1022.58,0,0,0,0,0,2,159
flat,m3m heights,sector 65,2.65,18492.0,1433.0,Super Built up area 1433(133.13 sq.m.),2,2,3,4.0,North-East,Undefined,I68332432,1433.0,,,1,0,0,0,0,0,38
flat,signature global orchard avenue 2,sector 93,,,,Carpet area: 577.11 (53.62 sq.m.),2,2,3,11.0,East,Under Construction,H68815396,,,577.160318,0,0,0,0,0,0,104
house,nirvana country,sector 50,10.0,14285.0,7000.0,Built Up area: 7000 (650.32 sq.m.),5,7,2,4.0,East,Undefined,A58935812,,7000.0,,0,0,0,1,0,1,0
flat,capital residences 360,sector 70a,1.15,11500.0,1000.0,Super Built up area 1450(134.71 sq.m.)Built Up area: 1400 sq.ft. (130.06 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2,2,3,4.0,East,New Property,G70121880,1450.0,1400.0,1000.0,0,1,0,0,0,0,132
