property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,property_id,super_builtup_area,builtup_area,carpet_area,study room,pooja room,store room,servant room,others,furnishing_type,facility_score
flat,shree vardhman victoria,sector 70,1.15,8518.0,1350.0,Super Built up area 1350(125.42 sq.m.),2,2,3,8.0,South-East,Undefined,N69685680,1350.0,,,1,0,0,0,1,0,49
flat,experion the heartsong,sector 108,1.6,7988.0,2003.0,Super Built up area 2003(186.08 sq.m.)Built Up area: 1500.29 sq.ft. (139.38 sq.m.)Carpet area: 1140.98 sq.ft. (106 sq.m.),3,4,3+,3.0,South,Undefined,F62011836,2003.0,1500.29,1140.98,0,0,0,1,0,2,60
flat,the crew bos chs manesar,manesar,0.85,3695.0,2300.0,Carpet area: 2300 (213.68 sq.m.),3,3,2,2.0,East,Undefined,T68196706,,,2300.0,0,0,0,0,0,0,44
flat,microtek greenburg,sector 86,1.3,8756.0,1485.0,Super Built up area 1480(137.5 sq.m.),2,2,3,10.0,,Undefined,R70169300,1480.0,,,1,0,0,0,0,0,38
flat,emaar emerald hills,sector 65,1.95,13928.0,1400.0,Carpet area: 1400 (130.06 sq.m.),3,3,3+,1.0,North-East,New Property,V69831504,,,1400.0,0,0,1,0,0,2,117
house,anamika enclave,sector 12,6.0,14492.0,4140.0,Plot area 4140(384.62 sq.m.)Built Up area: 9000 sq.ft. (836.13 sq.m.),9,9,3+,3.0,North-West,Undefined,U64211740,,9000.0,,0,0,0,0,0,0,9
house,godrej meridien,sector 106,5.6,14000.0,4000.0,Plot area 4000(371.61 sq.m.),5,4,3+,33.0,North-East,Undefined,V69168320,,4000.0,,1,1,1,1,0,0,151
flat,experion windchants,sector 112,5.6,11529.0,4857.0,Super Built up area 4857(451.23 sq.m.)Built Up area: 3662.34 sq.ft. (340.24 sq.m.),4,6,3+,15.0,North-East,Undefined,M69125272,4857.0,3662.34,,0,0,0,1,0,2,157
flat,experion windchants,sector 112,2.8,11470.0,2441.0,Super Built up area 2441(226.78 sq.m.)Built Up area: 1939.03 sq.ft. (180.14 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),2,3,2,9.0,South-East,Undefined,X69596172,2441.0,1939.03,1800.0,1,0,0,1,0,0,137
flat,smriti apartment,sector 56,0.52,10666.0,488.0,Super Built up area 525(48.77 sq.m.),1,1,1,1.0,,Undefined,R54552000,525.0,,,0,0,0,0,0,0,34
house,independent,sector 28,11.75,41315.0,2844.0,Plot area 316(264.22 sq.m.),4,5,3+,4.0,East,Undefined,F69427624,,2844.0,,1,0,1,1,0,2,54
flat,gls arawali homes,sohna road,0.3,5291.0,567.0,Super Built up area 567(52.68 sq.m.)Carpet area: 467 sq.ft. (43.39 sq.m.),2,2,2,10.0,,Undefined,D64840654,567.0,,467.0,0,0,0,0,0,0,42
house,dlf city plots phase 4,sector 28,9.54,29444.0,3240.0,Plot area 360(301.01 sq.m.),6,5,3+,3.0,North,Undefined,V69808282,,3240.0,,1,1,1,1,0,0,153
house,independent,sector 45,10.0,30864.0,3240.0,Plot area 360(301.01 sq.m.),6,6,3+,4.0,North-East,Undefined,I63177352,,3240.0,,1,1,1,1,0,2,70
flat,emaar imperial gardens,sector 102,1.91,9550.0,2000.0,Super Built up area 2000(185.81 sq.m.)Carpet area: 1228.17 sq.ft. (114.1 sq.m.),3,4,2,17.0,East,Undefined,T69732882,2000.0,,1228.17,1,0,0,1,0,2,152
flat,shapoorji pallonji joyville gurugram,sector 102,1.25,9876.0,1266.0,Super Built up area 1215(112.88 sq.m.),2,2,2,0.0,East,Undefined,U69125000,1215.0,,,0,0,0,0,0,0,79
flat,ramprastha the edge towers,sector 37d,1.1,5528.0,1990.0,Built Up area: 1990 (184.88 sq.m.),3,3,3,9.0,,Undefined,R68957042,,1990.0,,0,0,0,0,0,0,63
flat,umang winter hills,sector 77,1.4,6340.0,2208.0,Built Up area: 1735 (161.19 sq.m.),3,3,3,10.0,North-East,Undefined,C68021494,,1735.0,,0,0,0,0,0,0,28
flat,mapsko mount ville,sector 79,1.2,8052.0,1490.0,Super Built up area 1490(138.43 sq.m.)Carpet area: 1163.91 sq.ft. (108.13 sq.m.),3,3,3,9.0,South,Undefined,L69631492,1490.0,,1163.91,1,0,0,0,0,2,104
flat,vatika gurgaon,sector 83,0.78,6265.0,1245.0,Super Built up area 1245(115.66 sq.m.)Built Up area: 850 sq.ft. (78.97 sq.m.)Carpet area: 790 sq.ft. (73.39 sq.m.),2,2,2,3.0,South-East,Undefined,V68896848,1245.0,850.0,790.0,1,1,0,0,0,2,165
flat,godrej habitat,sector 3,1.25,8656.0,1444.0,Super Built up area 1444(134.15 sq.m.)Carpet area: 913 sq.ft. (84.82 sq.m.),2,2,3,14.0,,Under Construction,X66557286,1444.0,,913.0,0,0,0,0,0,0,36
flat,emaar mgf palm hills,sector 77,1.65,8461.0,1950.0,Super Built up area 1950(181.16 sq.m.),4,3,3,9.0,South,Undefined,S70076870,1950.0,,,0,0,0,1,0,0,100
flat,emaar imperial gardens,sector 102,1.98,9900.0,2000.0,Carpet area: 2000 (185.81 sq.m.),3,3,3+,9.0,North,Undefined,M69068068,,,2000.0,0,0,0,1,0,2,72
house,independent,sector 26,13.5,29880.0,4518.0,Plot area 502(419.74 sq.m.),5,5,3+,2.0,North-East,Undefined,T70094424,,4518.0,,1,1,0,1,1,1,49
flat,ss the leaf,sector 85,1.08,6585.0,1640.0,Super Built up area 1640(152.36 sq.m.)Built Up area: 1200 sq.ft. (111.48 sq.m.)Carpet area: 1125 sq.ft. (104.52 sq.m.),2,2,3,8.0,North-East,New Property,K68761724,1640.0,1200.0,1125.0,1,1,1,1,0,2,157
flat,signature global synera,sector 81,0.31,7434.0,417.0,Super Built up area 417(38.74 sq.m.)Carpet area: 320 sq.ft. (29.73 sq.m.),1,1,1,13.0,North,Undefined,B69809430,417.0,,320.0,0,0,0,0,0,1,123
flat,smart world gems,sector 89,0.95,8600.0,1105.0,Carpet area: 1103 (102.47 sq.m.),2,2,2,4.0,,Undefined,R69024308,,,1103.0,1,0,0,1,0,0,38
flat,pareena mi casa,sector 68,1.0,8163.0,1225.0,Carpet area: 1225 (113.81 sq.m.),2,2,2,16.0,,New Property,V69551604,,,1225.0,0,0,0,1,0,0,65
flat,suncity avenue,sector 102,0.47,8928.0,526.0,Super Built up area 632(58.71 sq.m.)Carpet area: 532 sq.ft. (49.42 sq.m.),2,2,1,5.0,South-East,Undefined,J69785340,632.0,,532.0,0,0,1,0,0,0,142
house,independent,sector 38,8.0,230547.0,347.0,Built Up area: 347 (32.24 sq.m.)Carpet area: 215 sq.ft. (19.97 sq.m.),10,10,3+,1.0,North,Undefined,L69856040,,347.0,215.0,0,0,0,0,0,0,0
flat,dlf regency park,sector 28,1.24,12400.0,1000.0,Super Built up area 1150(106.84 sq.m.)Built Up area: 1050 sq.ft. (97.55 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2,2,3+,19.0,South,Undefined,T69689326,1150.0,1050.0,1000.0,0,1,0,0,0,2,157
flat,bestech park view ananda,sector 81,0.87,7951.0,1094.0,Super Built up area 1360(126.35 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1094 sq.ft. (101.64 sq.m.),2,2,3,8.0,West,Undefined,I63351906,1360.0,1300.0,1094.0,0,0,0,0,0,0,95
flat,bestech park view residency,sector 2,0.98,6932.0,1414.0,Super Built up area 1415(131.46 sq.m.),2,2,3,11.0,East,Undefined,N68401428,1415.0,,,0,0,0,0,0,0,83
flat,rof ananda,sector 95,0.26,6032.0,431.0,Super Built up area 431(40.04 sq.m.)Carpet area: 380.44 sq.ft. (35.34 sq.m.),1,1,1,8.0,North,New Property,I65325074,431.0,,380.44,0,0,0,0,0,0,49
flat,ramprastha skyz,sector 37d,1.25,7250.0,1724.0,Built Up area: 1725 (160.26 sq.m.),3,3,3+,2.0,North-East,Under Construction,R68021756,,1725.0,,0,0,0,0,0,0,8
house,dlf city plots,sector 26,17.0,37627.0,4518.0,Plot area 502(419.74 sq.m.),5,6,3,2.0,North-West,Undefined,L69941792,,4518.0,,0,1,1,1,0,2,87
flat,godrej aria,sector 79,1.1,7772.0,1415.0,Super Built up area 1351(125.51 sq.m.),2,2,3+,4.0,North-East,New Property,R68188116,1351.0,,,0,0,0,0,0,2,49
flat,orchid petals,sector 49,4.21,11835.0,3557.0,Super Built up area 3557(330.46 sq.m.),5,6,3+,14.0,South-East,Undefined,I70022598,3557.0,,,0,1,0,1,0,0,35
flat,ashiana mulberry,sohna road,0.74,6200.0,1194.0,Carpet area: 1210 (112.41 sq.m.),2,2,3+,12.0,North-West,New Property,K68771888,,,1210.0,0,0,0,0,0,0,67
flat,spaze privy,sector 72,3.1,6692.0,4632.0,Super Built up area 4632(430.33 sq.m.)Carpet area: 2300 sq.ft. (213.68 sq.m.),4,5,3+,8.0,South,Undefined,Z69235626,4632.0,,2300.0,1,1,1,1,0,0,136
flat,sbtl caladium,sector 109,1.2,6382.0,1880.0,Super Built up area 1880(174.66 sq.m.),3,2,2,8.0,South,Undefined,R68625608,1880.0,,,0,0,0,0,0,0,151
flat,bptp terra,sector 37d,1.65,7530.0,2191.0,Super Built up area 2191(203.55 sq.m.)Built Up area: 2091 sq.ft. (194.26 sq.m.)Carpet area: 1991 sq.ft. (184.97 sq.m.),4,3,3+,6.0,West,Undefined,E70094810,2191.0,2091.0,1991.0,0,0,0,0,0,2,149
flat,pyramid urban homes 2,sector 86,0.44,7321.0,601.0,Carpet area: 601 (55.83 sq.m.),2,2,2,6.0,East,Undefined,V69085664,,,601.0,0,0,0,0,0,2,63
flat,greenopolis,sector 89,0.8,4820.0,1660.0,Super Built up area 1660(154.22 sq.m.),2,3,3,8.0,,Under Construction,W31384819,1660.0,,,1,0,0,0,1,0,60
flat,sare crescent parc,sector 92,0.82,5384.0,1523.0,Built Up area: 1523 (141.49 sq.m.),3,3,3+,12.0,West,Undefined,T68022426,,1523.0,,0,0,0,0,0,0,0
flat,spaze privy,sector 72,1.9,9620.0,1975.0,Built Up area: 1975 (183.48 sq.m.),3,3,3,10.0,,Undefined,T69753598,,1975.0,,0,0,0,0,0,0,0
house,independent,sector 43,8.5,31481.0,2700.0,Plot area 300(250.84 sq.m.),5,5,3,3.0,West,Undefined,V68392090,,2700.0,,0,0,0,1,0,2,113
house,vatika india next,sector 82,6.5,20062.0,3240.0,Built Up area: 360 (301.01 sq.m.)Carpet area: 300 sq.yards (250.84 sq.m.),4,3,0,2.0,,Undefined,O68021412,,360.0,300.0,0,0,0,0,0,0,0
flat,vatika gurgaon,sector 83,0.84,6746.0,1245.0,Super Built up area 1245(115.66 sq.m.),2,2,2,7.0,East,Undefined,D70152358,1245.0,,,0,0,0,0,0,2,157
flat,la vida by tata housing,sector 113,1.55,11654.0,1330.0,Super Built up area 1330(123.56 sq.m.)Built Up area: 1276 sq.ft. (118.54 sq.m.)Carpet area: 1180 sq.ft. (109.63 sq.m.),2,2,3,2.0,North-East,New Property,Y68450358,1330.0,1276.0,1180.0,0,0,0,0,0,0,174
flat,sidhartha ncr greens,sector 95,0.96,6201.0,1548.0,Carpet area: 1548 (143.81 sq.m.),3,3,3,8.0,,New Property,P61617128,,,1548.0,0,1,1,0,0,0,8
flat,green court,sector 90,0.4,6389.0,626.0,Super Built up area 626(58.16 sq.m.)Carpet area: 526 sq.ft. (48.87 sq.m.),2,2,1,8.0,South,New Property,S64064452,626.0,,526.0,0,0,0,0,0,0,20
house,ansal sushant lok plots,sector 43,11.5,17692.0,6500.0,Plot area 3762(349.5 sq.m.)Built Up area: 9000 sq.ft. (836.13 sq.m.)Carpet area: 6500 sq.ft. (603.87 sq.m.),7,8,3+,3.0,,Undefined,V69310762,,9000.0,6500.0,0,1,1,1,0,2,31
flat,breez global heights,sohna road,0.42,6420.0,654.0,Super Built up area 623(57.88 sq.m.),2,2,2,2.0,,New Property,B64902914,623.0,,,0,0,0,0,0,0,73
flat,bptp terra,sector 37d,1.75,7987.0,2191.0,Super Built up area 2191(203.55 sq.m.)Built Up area: 2100 sq.ft. (195.1 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),4,4,3,7.0,West,Undefined,F69267096,2191.0,2100.0,1800.0,0,0,0,0,1,2,120
house,independent,sector 2,3.65,23442.0,1557.0,Plot area 173(144.65 sq.m.),9,9,3+,3.0,West,New Property,B69812818,,1557.0,,0,1,0,1,0,2,116
house,independent,sector 9,1.1,55000.0,200.0,Plot area 200(18.58 sq.m.),4,3,1,2.0,North-East,Undefined,O27405853,,200.0,,0,0,0,0,0,0,0
flat,m3m one key resiments,sector 67,0.8,13115.0,610.0,Built Up area: 610 (56.67 sq.m.),1,1,0,0.0,,Undefined,G68560058,,610.0,,0,0,0,0,0,0,0
flat,birla navya,sector 63a,2.1,16666.0,1260.0,Carpet area: 1260 (117.06 sq.m.),2,2,2,2.0,,Under Construction,K70051610,,,1260.0,0,0,0,0,0,0,38
flat,signature global solera,sector 107,0.38,6333.0,600.0,Super Built up area 650(60.39 sq.m.)Carpet area: 600 sq.ft. (55.74 sq.m.),2,2,2,3.0,East,Undefined,Q69135694,650.0,,600.0,0,0,0,0,0,1,23
flat,la vida by tata housing,sector 113,1.5,11755.0,1276.0,Super Built up area 1276(118.54 sq.m.),2,2,2,13.0,,New Property,I68564410,1276.0,,,0,0,0,0,0,0,60
flat,capital residences 360,sector 70a,1.66,8400.0,1976.0,Super Built up area 1976(183.58 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3,3,3+,8.0,East,New Property,I70084254,1976.0,1900.0,1500.0,0,0,0,1,0,0,132
house,independent,sector 37d,1.16,7539.0,1539.0,Built Up area: 1535 (142.61 sq.m.),1,1,0,1.0,,Undefined,I67433976,,1535.0,,0,0,0,0,0,0,0
flat,bestech park view grand spa,sector 81,2.35,8834.0,2660.0,Super Built up area 2660(247.12 sq.m.)Carpet area: 2354 sq.ft. (218.69 sq.m.),3,4,3+,10.0,North-West,Undefined,H69427448,2660.0,,2354.0,0,0,0,1,0,0,109
house,international city by sobha phase 2,sector 109,7.0,11240.0,6228.0,Plot area 692(578.6 sq.m.),5,5,3+,2.0,South,Undefined,E70108668,,6228.0,,0,0,0,1,0,0,129
flat,raheja sampada,sector 92,0.7,4453.0,1572.0,Built Up area: 1572 (146.04 sq.m.),3,3,0,7.0,,Undefined,L67904536,,1572.0,,0,0,0,0,0,0,0
flat,tulip violet,sector 69,1.32,8411.0,1569.0,Super Built up area 1568(145.67 sq.m.),3,3,1,12.0,South-East,Undefined,F69429866,1568.0,,,0,1,0,0,0,0,86
flat,dlf regal gardens,sector 90,1.29,7103.0,1816.0,Super Built up area 1818(168.9 sq.m.)Built Up area: 1817 sq.ft. (168.8 sq.m.)Carpet area: 1816 sq.ft. (168.71 sq.m.),3,3,3+,12.0,South-East,Undefined,Z69685130,1818.0,1817.0,1816.0,0,0,0,1,0,0,152
